track_name,artist_name,popularity,danceability,energy,valence
Winner,Nerox,0.3,0.82,0.73,0.94
Winnebago feat Quinn XCII  Daniel Wilson,Gryffin,0.69,0.65,0.89,0.7
Winnebago,David Lee Murphy,0.32,0.58,0.8,0.92
Winkum,Jon Sarta,0.1,0.7,0.07,0.32
Wink,The Voidz,0.44,0.56,0.79,0.55
Wining Crook,Stadic,0.1,0.81,0.87,0.73
Wings for the Broken,Alan Gogoll,0.22,0.64,0.2,0.76
Wings Of An Angel,Lauren Alaina,0.54,0.61,0.62,0.56
Wings In All Black,Gregory Alan Isakov,0.48,0.57,0.25,0.3
Wings,Birdy,0.48,0.47,0.71,0.22
Wingding,Wood  Wire,0.12,0.44,0.56,0.94
Wine up Yo Body,Elephant Man,0.23,0.6,0.89,0.88
Wine on the Patio,Bag of Toys,0.19,0.77,0.39,0.76
Wine n Drugz,Yung Yizzo,0.25,0.71,0.42,0.6
Wine in Paradise,Wilczynski,0.34,0.67,0.42,0.5
Wine an Jiggle Radio Edit,Triple Ess,0.16,0.78,0.72,0.65
Wine an Jiggle,Triple Ess,0.35,0.78,0.73,0.62
Wine Pon You,Doja Cat,0.56,0.8,0.44,0.14
Wine N Dine feat Ziggy,J Stalin,0.14,0.65,0.66,0.55
Wine For Me,Popcaan,0.56,0.76,0.59,0.52
Wine Deh,Shockman,0.3,0.9,0.74,0.86
Wine,Jooyoung,0.39,0.71,0.57,0.44
Windy Twilight Thunderstorm Sounds,Thunderstorm Sound Bank,0.35,0.21,0.66,0.01
Windy Thunderstorms Sounds,Thunderstorm Sound Bank,0.34,0.0,0.68,0.0
Windy Rain  Thunderstorms Sounds,Thunderstorm Sound Bank,0.34,0.21,0.82,0.01
Windy Rain  Storm Sounds,Thunderstorm Sound Bank,0.37,0.2,0.74,0.0
Windy Nighttime Rain  Storm Sounds,Thunderstorm Sound Bank,0.34,0.15,0.64,0.01
Windy Lady,Lofi Coffee,0.43,0.39,0.49,0.29
Windy City Blues,Ernie Hawks,0.17,0.44,0.61,0.56
Windswept,Moonfall,0.33,0.54,0.48,0.33
Windowwww,Sorority Noise,0.26,0.44,0.08,0.16
Windows to the Soul,biosphere,0.27,0.66,0.14,0.11
Windows Down,Oliver Francis,0.53,0.43,0.84,0.12
Windows,Little Bird,0.15,0.52,0.4,0.54
Window To The Soul,Styles P,0.41,0.44,0.76,0.22
Window Seat,Chris Anderson,0.58,0.55,0.56,0.3
Window Pain  Outro,J Cole,0.69,0.72,0.63,0.18
Window Love,Tungz,0.15,0.76,0.4,0.31
Window Kicker,Dontcry,0.11,0.67,0.16,0.17
Window Actress Remix,Joji,0.45,0.81,0.55,0.61
"Windout  Live From Rock City, Nottingham  1984",REM,0.24,0.23,0.86,0.56
Windmill,McCafferty,0.33,0.44,0.98,0.48
Winding the Rope,Sam Gorski,0.1,0.45,0.81,0.26
Winding Road,MAN WITH A MISSION,0.36,0.49,0.88,0.52
Windex Gang,Tray Loop,0.27,0.71,0.34,0.7
Windeck,Stacks,0.13,0.7,0.24,0.91
Windbreaker,ENTRO//,0.43,0.6,0.37,0.71
Winda,Paul Wall,0.33,0.79,0.5,0.41
Wind up Man,Trixie Mattel,0.37,0.6,0.85,0.68
Wind the Bobbin up SingAlong,Super Simple Songs,0.24,0.73,0.5,0.98
Wind the Bobbin Up Instrumental,Nursery Rhymes 123,0.32,0.33,0.26,0.32
Wind the Bobbin Up,Nursery Rhymes 123,0.46,0.44,0.25,0.38
Wind on the Water,Shook,0.19,0.76,0.52,0.23
Wind in My Hair Reprise,Rapunzel,0.33,0.42,0.48,0.41
Wind in My Hair  From Tangled: Before Ever After,Rapunzel,0.35,0.42,0.71,0.42
Wind flower,Mamamoo,0.66,0.74,0.8,0.82
Wind and Rain,Bear McCreary,0.25,0.35,0.36,0.08
Wind Whistles Through the Dark City,Kronos Quartet,0.27,0.12,0.19,0.07
Wind Up Space,1010 Benja SL,0.44,0.27,0.22,0.14
Wind Me Up,Strange Kids,0.35,0.56,0.55,0.14
Wind Chimes,Mikaeli,0.19,0.32,0.26,0.06
Wind And Rain,Healing Sounds for Deep Sleep and Relaxation,0.26,0.08,0.59,0.0
Wind  Cloud  Denis Sender Remix,LTN,0.15,0.63,0.82,0.48
Win or Lose,Dom Kennedy,0.41,0.9,0.62,0.38
Win You Over feat Soak,Whethan,0.64,0.81,0.75,0.66
Win You Over,LANCO,0.46,0.51,0.9,0.75
Win Win,Erik Friedlander,0.14,0.5,0.1,0.31
Win Doors,Mansa Obi,0.31,0.62,0.8,0.67
Wimbledon,Rossi Rock,0.11,0.73,0.55,0.2
Wim,Casiio,0.27,0.56,0.35,0.72
Wilys Fortress 2,Marcus D,0.13,0.52,0.81,0.92
Wiltshire Grave,Victor Wainwright,0.19,0.6,0.59,0.7
Wilting,Vague003,0.29,0.66,0.36,0.43
Wilt Chamberlin feat Jeremih,THEY,0.44,0.76,0.7,0.64
Wilt Chamberlin,G Herbo,0.59,0.66,0.71,0.54
Wilt Chamberlain,G Herbo,0.26,0.66,0.7,0.49
Wilson Expensive Mistakes,Fall Out Boy,0.65,0.49,0.8,0.66
Wilma ASOT 853  Hi Profile Remix,Jordan Suckley,0.11,0.53,0.96,0.08
Willow Weep For Me  Take 4,Louis Armstrong,0.4,0.7,0.07,0.34
"Willow Weep For Me  Mono, 2017 Remastered Version",Nina Simone,0.25,0.27,0.26,0.43
Willow Weep For Me,Ella Fitzgerald,0.29,0.65,0.37,0.43
Willow Tree  Acoustic,Twin Wild,0.23,0.52,0.54,0.32
Willow Tree,Syndrome,0.53,0.73,0.07,0.19
Willow,Blackwater Holylight,0.35,0.18,0.71,0.15
Willoughby,Bear McCreary,0.24,0.2,0.21,0.06
Willkommen Im Nichts,Eisbrecher,0.22,0.57,0.94,0.54
Willkommen,José Madero,0.39,0.41,0.53,0.38
Willie the Wimp,Tyler Morris Band,0.11,0.66,0.83,0.89
Willie Nelsons Wall,Eleven Hundred Springs,0.22,0.69,0.71,0.75
Willie Nelson,The Lacs,0.51,0.72,0.83,0.65
Willie Lloyd,Curreny,0.51,0.77,0.57,0.07
Willie Got Me Stoned  Live,Jack Johnson,0.41,0.47,0.37,0.55
Willie,Bear McCreary,0.23,0.1,0.12,0.03
William’s Flashback Number Three,Siddhartha Khosla,0.29,0.46,0.11,0.26
William,Moontower,0.39,0.72,0.8,0.91
Will to Survive,Seranation,0.2,0.65,0.6,0.75
Will the Sun Rise  Acoustic,Dokken,0.12,0.47,0.83,0.57
Will the Sun Ever Rise,Five Finger Death Punch,0.55,0.48,0.94,0.62
Will and the Robot,Christopher Lennertz,0.15,0.1,0.16,0.03
Will You Love Me Tomorrow,Andy Gibb,0.34,0.72,0.53,0.59
Will You Feel the Same,Nashville Cast,0.38,0.59,0.66,0.53
Will You Be There,Jimmie Allen,0.38,0.38,0.67,0.25
Will You Be Mine,Wande Coal,0.23,0.81,0.57,0.32
Will We Remain? Push The Button [ABGT282],Ilan Bluestone,0.11,0.64,0.8,0.12
Will We Remain Mixed,Ilan Bluestone,0.42,0.65,0.94,0.42
Will We Remain ASOT 895,Ilan Bluestone,0.22,0.46,0.59,0.04
Will We Be Strangers,Elisa,0.42,0.61,0.63,0.24
Will Smiff,Van Taylor,0.24,0.57,0.48,0.8
Will Open Up,Styles Trey,0.22,0.77,0.59,0.65
Will Not Disappear,Dusted,0.11,0.28,0.02,0.09
Will I Wake,I Am Oak,0.17,0.44,0.08,0.14
Will I Make It out Alive feat Jessie Early,Tommee Profitt,0.27,0.57,0.63,0.27
Will I Ever Care,VELVETEARS,0.26,0.55,0.27,0.18
Will He Ryan Hemsworth Remix,Joji,0.52,0.53,0.38,0.33
Will He Piano Arrangement,The Theorist,0.26,0.56,0.24,0.18
Will He Medasin Remix,Joji,0.57,0.61,0.54,0.35
Will He,Joji,0.74,0.62,0.22,0.09
Will Exploring,Christopher Lennertz,0.19,0.17,0.2,0.03
Will Be Fine,Park Boram,0.36,0.44,0.42,0.31
Will  Testament,Charlie Barnes,0.16,0.83,0.33,0.19
Wildwind,Young Dreams,0.24,0.57,0.68,0.88
Wildside,PAZ,0.29,0.55,0.8,0.25
Wildn,Spiffy Global,0.18,0.75,0.66,0.3
Wildling,Linda Perry,0.21,0.64,0.32,0.28
Wildin,Berhana,0.59,0.76,0.48,0.88
Wildflowers,Carmouflage Rose,0.45,0.68,0.62,0.27
Wildflower,Joe Corfield,0.63,0.67,0.14,0.66
Wildfire feat Meral Kara,NOES,0.13,0.63,0.75,0.38
Wildfire and Whiskey,Tenille Arts,0.31,0.68,0.9,0.32
Wildfire  Piano and Violin Version,SYML,0.35,0.32,0.26,0.09
Wildfire  Piano Solo,SYML,0.35,0.63,0.04,0.13
Wildfire  Alternative Version,SYML,0.57,0.53,0.27,0.22
Wildfire  Alternate Version,SYML,0.57,0.53,0.27,0.22
Wildfire,Antioch Live,0.14,0.41,0.83,0.18
Wildest Dreams,Taylor Swift,0.78,0.55,0.66,0.47
Wilder Horses,Brandon Lay,0.5,0.64,0.65,0.62
Wilder Days  Acoustic,Tors,0.45,0.55,0.29,0.06
Wildcat Tree House Rap,Moe Maid Cafe,0.42,0.76,0.45,0.48
Wild and Free,Jason Upton,0.47,0.5,0.38,0.16
Wild You Run,Western Centuries,0.17,0.66,0.7,0.12
Wild World  Intro,Other Peoples Heartache,0.55,0.65,0.31,0.38
Wild World,Johnny Stimson,0.41,0.6,0.54,0.34
Wild Wild West feat Gunna,Offset,0.74,0.9,0.62,0.5
Wild Wild Web,Brazilian Girls,0.2,0.81,0.74,0.97
Wild Wild Son Mixed  Richard Durand Remix,Armin van Buuren,0.4,0.41,0.92,0.06
Wild Wild Son Mixed  Club Mix,Armin van Buuren,0.41,0.35,0.88,0.35
Wild Wild Son ASOT 902  Fatum Remix,Armin van Buuren,0.3,0.39,0.85,0.13
Wild Wild Son ASOT 900  Part 2 [Trending Track]  Richard Durand Remix,Armin van Buuren,0.27,0.2,0.86,0.06
Wild Wild Son ASOT 900  Part 1  Richard Durand Remix,Armin van Buuren,0.28,0.39,0.81,0.14
Wild Wild Son ASOT 895  Club Mix,Armin van Buuren,0.2,0.4,0.67,0.15
Wild Wild Son ASOT 887  Club Mix,Armin van Buuren,0.18,0.47,0.57,0.2
Wild Wild Son AIR250,Armin van Buuren,0.11,0.36,0.64,0.16
Wild Wild Son  Richard Durand Remix,Armin van Buuren,0.31,0.24,0.96,0.15
Wild Wild Son  Club Mix,Armin van Buuren,0.6,0.53,0.87,0.12
Wild Wild Son,Armin van Buuren,0.66,0.45,0.57,0.17
Wild West feat Yung Weej,Yung Bans,0.31,0.88,0.43,0.22
Wild West Dreams,Jacob Powell,0.16,0.69,0.64,0.47
Wild West ASOT 878,Tony Hammer,0.17,0.45,0.69,0.3
Wild West,Runaway June,0.49,0.46,0.59,0.24
Wild Thoughts feat Rihanna  Bryson Tiller,DJ Khaled,0.72,0.67,0.67,0.63
Wild Thoughts  The Four Performance,Lex Lu,0.25,0.59,0.82,0.78
Wild Things,Rivals,0.28,0.39,0.8,0.23
Wild Stare,Giant Rooks,0.76,0.65,0.82,0.44
Wild Silence,The Wandering Hearts,0.41,0.61,0.76,0.44
Wild River,Phil Wickham,0.4,0.41,0.71,0.35
Wild Ones feat Sia,Flo Rida,0.77,0.61,0.86,0.44
Wild Ones  Nathan Jain Remix,Cazzi Opeia,0.35,0.69,0.81,0.87
Wild Ones,Theresa Rex,0.51,0.75,0.59,0.78
Wild One,Carl Nunes,0.17,0.54,0.68,0.29
Wild Night,V12,0.33,0.66,0.68,0.47
Wild Love  Shadow Child Remix,James Bay,0.27,0.78,0.61,0.34
Wild Love  Kove Remix,James Bay,0.37,0.47,0.92,0.23
Wild Love  Jonas Blue Remix,James Bay,0.52,0.62,0.81,0.62
Wild Love  Acoustic,James Bay,0.67,0.51,0.41,0.53
Wild Love,Ashley Monroe,0.41,0.43,0.59,0.55
Wild Like The Wind,Deorro,0.6,0.62,0.82,0.13
Wild Light,Jef Miles,0.37,0.48,0.49,0.23
Wild Life  Panama Remix,Client Liaison,0.35,0.79,0.8,0.55
Wild Life  2018 Remaster,Wings,0.3,0.6,0.43,0.27
Wild Life,Tyla Yaweh,0.42,0.69,0.81,0.75
Wild Is the Wind,Ellie Schmidly,0.13,0.35,0.3,0.14
Wild Is The Will,Bonnie Prince Billy,0.11,0.16,0.27,0.2
Wild Hotel Sessions,Local Sound,0.39,0.81,0.47,0.6
Wild Horses  Live At London Stadium,The Rolling Stones,0.52,0.42,0.73,0.34
Wild Horses,Bishop Briggs,0.6,0.74,0.54,0.2
Wild Honey Pie  2018 Mix,The Beatles,0.52,0.75,0.69,0.3
Wild Heart,Bleachers,0.53,0.55,0.95,0.54
Wild Guess,Spector,0.37,0.68,0.59,0.58
Wild Forest,Alitaumas,0.22,0.36,0.28,0.04
Wild Fire  Mahogany Sessions,Laura Marling,0.42,0.54,0.36,0.37
Wild Fire,Dennis Brown,0.26,0.55,0.68,0.72
Wild Eyes,Struggle Jennings,0.39,0.59,0.82,0.3
Wild Enough,Elina,0.71,0.5,0.23,0.29
Wild Dream,Andy Moor,0.12,0.41,0.93,0.04
Wild Dogs,Colter Wall,0.5,0.5,0.26,0.32
Wild Child,Shopping,0.26,0.64,0.84,0.73
Wild Ceaseless Song,Alela Diane,0.34,0.58,0.15,0.11
Wild Cats,Method Man,0.37,0.58,0.88,0.74
Wild Card,Black Smurf,0.19,0.81,0.35,0.04
Wild Bunch,Lofi Coffee,0.24,0.68,0.48,0.14
Wild Brush Fire,Shahmen,0.36,0.81,0.44,0.33
Wild Birds,Western Centuries,0.18,0.62,0.85,0.68
Wild Bill Hickok,Colter Wall,0.45,0.7,0.26,0.45
Wild Beach,Doja Cat,0.42,0.72,0.68,0.36
Wild And Free,Destin Bennett,0.38,0.52,0.4,0.38
Wild Again,The Dangerous Summer,0.33,0.45,0.94,0.36
Wila Wila,Mark B,0.29,0.83,0.51,0.57
Wii Trapped,Joey Trap,0.6,0.8,0.59,0.67
Wii Tennis,420 Unlovable,0.66,0.95,0.58,0.48
Wii Sports,VGR,0.48,0.71,0.63,0.47
Wii Fit,Lilcockpump,0.47,0.97,0.42,0.4
Wihayo,Tosh Rock,0.22,0.84,0.3,0.58
Wiggy Giggy,The Lovely Eggs,0.29,0.59,0.97,0.09
Wiggle feat Snoop Dogg,Jason Derulo,0.66,0.7,0.62,0.72
Wiggle Through Yo Section,OTG Raider,0.22,0.77,0.74,0.67
Wifin You,Jordan Hush,0.2,0.37,0.46,0.34
WifiHooves,Psalm Trees,0.46,0.76,0.31,0.58
Wifi  Remix,Oskar Linnros,0.53,0.76,0.66,0.64
Wifi,K CAMP,0.44,0.79,0.4,0.14
Wifed Up,Xscap3,0.45,0.86,0.53,0.7
Wife You,Sam Tompkins,0.36,0.81,0.62,0.27
Wife Me,RAYE,0.51,0.74,0.65,0.57
Wiem  Remix,TACONAFIDE,0.45,0.76,0.64,0.51
Wiem,TACONAFIDE,0.53,0.75,0.63,0.5
"Wiegenlied Chant du berceau, S 198",Franz Liszt,0.1,0.35,0.01,0.14
Wieder mal Freitag,Estikay,0.47,0.81,0.67,0.7
Wie tief,Eisbrecher,0.15,0.56,0.92,0.18
Widow In The Sunlight,Fiddlehead,0.31,0.37,0.91,0.14
Widow Bride,Ben Caplan,0.16,0.57,0.67,0.35
Widow,Sienna Skies,0.37,0.45,0.96,0.55
"Widmung, S 566",Franz Liszt,0.16,0.28,0.02,0.05
Widewalls,Hard Bass School,0.32,0.67,0.9,0.68
"Widerstehe doch der Sünde, BWV 54 Transcr by Víkingur Ólafsson",Johann Sebastian Bach,0.35,0.42,0.09,0.28
Wide Wide as the Ocean,Spring Harvest,0.13,0.82,0.54,0.84
Wide Place,Laity,0.42,0.52,0.25,0.11
Wide Open Spaces,Dixie Chicks,0.29,0.37,0.78,0.39
Wide Open,Austin French,0.35,0.59,0.77,0.36
Wide Awake feat Kevin Gates  Mistah FAB,Project Pat,0.36,0.85,0.63,0.61
Wide Awake  THE LAUNCH,The Static Shift,0.34,0.46,0.87,0.58
Wide Awake,Katy Perry,0.65,0.51,0.68,0.57
Wickedest Bounce,TroyBoi,0.36,0.87,0.78,0.89
Wicked Ways,Killabyte,0.42,0.57,0.83,0.27
Wicked Thing,Dear Rouge,0.21,0.3,0.73,0.12
Wicked Teeth,Ciaran Lavery,0.18,0.36,0.27,0.32
Wicked Love,Sara Bareilles,0.58,0.52,0.68,0.76
Wicked Lady,Lady Haman,0.29,0.48,0.82,0.6
Wicked Heart,Sublime With Rome,0.55,0.64,0.91,0.81
Wicked Gonna Come,Blues Saraceno,0.36,0.57,0.66,0.61
Wicked Games,Kiana Ledé,0.64,0.79,0.44,0.46
Wicked Friends,The New Age,0.29,0.45,0.7,0.13
Wicked  Wild,Skarra Mucci,0.28,0.75,0.68,0.79
Wicked,Deva Mahal,0.12,0.68,0.72,0.64
WiFi with ZICO,Yoon Jongshin,0.28,0.64,0.55,0.52
Whyz it so hard,Brent Faiyaz,0.54,0.62,0.29,0.11
Whyuthinkurdiffrnt,Woolymammoth,0.11,0.63,0.38,0.76
Whyd You Only Call Me When Youre High?,Arctic Monkeys,0.84,0.69,0.63,0.8
Whyd You Have to Go,HKFiftyOne,0.45,0.53,0.52,0.25
Whyd It Take So Long,Mo Lowda  the Humble,0.29,0.42,0.88,0.59
WhyDoesNothingseemToLast?,PRXJEK,0.32,0.63,0.78,0.33
Why u so Mad?,Superbee,0.22,0.85,0.8,0.81
Why so Serious,Baby Smoove,0.24,0.48,0.47,0.33
Why You Mad feat Famous Dex,Jose Guapo,0.23,0.6,0.6,0.66
Why You Mad Tho? Drew G Rdr Remix,Morgan McMichaels,0.27,0.7,0.84,0.1
Why You Mad,Nick Bean,0.18,0.75,0.37,0.51
Why You Gotta Walk Like That???,YNW Melly,0.61,0.63,0.48,0.39
Why You Do Em Like Dat Kirby,KirbLaGoop,0.2,0.92,0.42,0.22
Why You Crying Mama,NAV,0.67,0.74,0.45,0.41
Why You Always Gotta Go,Kodak Black,0.53,0.68,0.55,0.39
Why You,Fiji,0.26,0.71,0.62,0.96
Why Would I Wait feat GEazy,Yung Pinch,0.59,0.64,0.59,0.46
Why Would I,Skii40,0.23,0.47,0.84,0.84
Why Won’t You Love Me  Live,5 Seconds of Summer,0.47,0.38,0.8,0.14
Why Won’t You Love Me,5 Seconds of Summer,0.64,0.61,0.78,0.33
Why Wont You Die MotherfEr,Mile,0.35,0.43,0.93,0.45
Why Wont The Talking Heads Play Coachella,Nicky Blitz,0.12,0.81,0.71,0.76
Why Woman,Glen Hansard,0.61,0.41,0.45,0.09
Why Why Why,Punch,0.45,0.48,0.52,0.36
Why Were You Here,HALP,0.22,0.53,0.48,0.17
Why We Tell the Story,Once On This Island Storytellers,0.37,0.5,0.32,0.49
Why We Grow,Mendo Dope,0.1,0.63,0.62,0.34
Why Walk a Dog?,Jack White,0.37,0.39,0.43,0.41
Why U so Mad,Laren,0.1,0.69,0.64,0.19
Why So Serious,Alice Merton,0.39,0.86,0.46,0.7
Why So Sad,Halocene,0.22,0.66,0.49,0.47
Why Remix [feat Leon Bridges]  Remix,Shawn Mendes,0.68,0.62,0.45,0.31
Why Oh Why feat WHATUPRG,Danielle Apicella,0.3,0.75,0.26,0.15
"Why Not Smile  Live From Pyramid Stage, Glastonbury Festival  1999",REM,0.19,0.29,0.28,0.6
Why Not Me,Forrest,0.57,0.9,0.72,0.7
Why Not Hustle 2,CStruggs,0.14,0.71,0.71,0.68
Why Not Go Wild,Shopkins,0.31,0.71,0.9,0.66
Why Me,INFINITE,0.36,0.31,0.61,0.17
Why Lie,CHVSE,0.31,0.9,0.85,0.49
Why I Dont Drink,Chris Bandi,0.41,0.43,0.43,0.2
Why I Do Dat,RX PESO,0.11,0.74,0.59,0.36
Why I Came Here ASOT 880,Simon Lee and Alvin,0.16,0.44,0.67,0.1
Why Her Not Me,Grace Carter,0.29,0.39,0.65,0.2
Why Havent I Met You?,Cameron Dallas,0.69,0.7,0.47,0.53
Why Give Up Before We Try,Dosem,0.37,0.71,0.7,0.5
Why For,Yuno,0.32,0.4,0.8,0.07
Why Even Try,Hippo Campus,0.53,0.6,0.64,0.2
Why Don’t You Come On ft Khalid and Empress Of,DJDS,0.52,0.67,0.68,0.35
Why Don’t We Get Drunk,Don Sparks,0.15,0.7,0.51,0.58
Why Dont You Talk to Me,RO,0.34,0.65,0.35,0.54
Why Dont You Just Meet Me In The Middle,Ashley Craig,0.43,0.83,0.5,0.44
Why Dont You Introduce Me as Your Darlin feat Riley Calcagno,Vivian Leva,0.1,0.63,0.43,0.65
Why Dont You Do Right,Beth Hart,0.44,0.63,0.74,0.67
Why Dont We Fall in Love,Amerie,0.19,0.56,0.77,0.64
Why Dont We Do It In The Road?  2018 Mix,The Beatles,0.5,0.53,0.52,0.84
Why Dont We,Austin Mahone,0.67,0.77,0.74,0.28
Why Dont It Sink In?,Hot Snakes,0.26,0.25,0.92,0.26
Why Does It Hurt,JHart,0.42,0.54,0.73,0.25
Why Do You Lie?,The Grinns,0.24,0.35,0.77,0.89
Why Do You Believe Me?,Broods,0.44,0.6,0.41,0.48
Why Do I?,Unknown Brain,0.61,0.62,0.76,0.12
Why Do I Wonder Why,Super Whatevr,0.33,0.42,0.74,0.75
Why Do I  Radio Edit,NERVO,0.36,0.74,0.67,0.26
Why Didnt You Stop Me?,Mitski,0.57,0.61,0.86,0.56
Why Did You Run?,Judah  the Lion,0.61,0.38,0.74,0.47
Why Did You Give up on Your Dream Motivational Speech,Fearless Motivation,0.29,0.5,0.64,0.34
Why Did You Do That?,Lady Gaga,0.68,0.79,0.55,0.44
Why Did It Have To Be Me?,Josh Dylan,0.68,0.55,0.78,0.79
Why Did I Say Okie Doki? Instrumental,The Stupendium,0.25,0.8,0.57,0.72
Why Did I Say Okie Doki? A Cappella,The Stupendium,0.26,0.82,0.33,0.42
Why Did I Say Okie Doki?,The Stupendium,0.52,0.8,0.72,0.82
Why DONT You LOVE me?,Tory Lanez,0.65,0.59,0.77,0.18
Why Cant You?,Joe,0.13,0.38,0.48,0.17
Why Cant We Work,Skizzy Mars,0.46,0.64,0.76,0.42
Why Cant We Be Friends?,Congratulationz,0.11,0.71,0.81,0.68
Why Cant We,Crotona P,0.2,0.64,0.88,0.15
Why Cant She,Adam Craig,0.58,0.55,0.61,0.36
"Why Cant I Change  Live from Tahkenitch Landing Campground, Gardiner, OR",Passenger,0.28,0.6,0.14,0.36
Why Cant I Change,Passenger,0.43,0.59,0.75,0.58
Why Burn,Black Map,0.16,0.45,0.65,0.2
Why Are We So Broken feat blink182  Steve Aoki 182 Bottles Of Beer On The Wall Remix,Steve Aoki,0.54,0.6,0.94,0.14
Why Are We So Broken feat blink182,Steve Aoki,0.56,0.59,0.89,0.38
Why Am I Like This?,The Word Alive,0.6,0.32,0.95,0.23
Why Am I,Thatshymn,0.39,0.8,0.66,0.51
Why ASOT 891,Giuseppe Ottaviani,0.22,0.44,0.98,0.06
Why  from the Dumplin Original Motion Picture Soundtrack,Dolly Parton,0.45,0.76,0.64,0.64
Why  Mastiksoul Remix,Shaggy,0.32,0.66,0.6,0.67
Why,Animal Flag,0.1,0.34,0.43,0.11
Whuss The Deal,Shoreline Mafia,0.7,0.84,0.4,0.2
Whoville,"Tyler, The Creator",0.49,0.5,0.27,0.2
Whose House Is This?,Cheech Manohar,0.46,0.82,0.89,0.59
Whose Fault feat Christian Scott aTunde Adjuah,Boogie,0.53,0.62,0.77,0.39
Whos Up?,LunchMoney Lewis,0.44,0.92,0.62,0.86
Whos To Blame  Acoustic,Möwe,0.15,0.6,0.28,0.27
Whos To Blame,Möwe,0.57,0.66,0.7,0.25
Whos The Leader,The Album Leaf,0.19,0.24,0.15,0.03
Whos That Girl  2018 Remastered,Eurythmics,0.27,0.77,0.4,0.4
Whos That Chick? feat Rihanna,David Guetta,0.71,0.68,0.6,0.93
Whos Ready,The Album Leaf,0.19,0.19,0.16,0.1
Whos Making You?,Helsinki Headnod Convention,0.13,0.33,0.31,0.38
Whos Got Your Love,Cheat Codes,0.73,0.7,0.89,0.53
Whos Gonna Love You,Tebey,0.4,0.69,0.62,0.65
Whos Gonna Drive U Home?,FLOOR CRY,0.52,0.56,0.43,0.26
Whos Cursing Us Now?,LA Salami,0.21,0.72,0.62,0.78
Whore,We Are Band Nerds,0.34,0.65,0.86,0.52
Whopper ASOT 889  Solarstone Edit,Sam Mitcham,0.12,0.45,0.83,0.05
Whoopi Goldberg Intro  Live,The Rolling Stones,0.44,0.4,0.9,0.04
Whooped,E40,0.38,0.9,0.5,0.06
Whoop Ass,Le,0.12,0.6,0.72,0.49
Whoman Woman,Efya,0.26,0.78,0.68,0.63
Wholesale Slaughter Dos,Conejo,0.1,0.51,0.89,0.42
Whole World feat Kash Doll,Young Dolph,0.47,0.87,0.58,0.31
Whole World Watchin,UGod,0.11,0.45,0.8,0.36
Whole Wide World,Berhana,0.55,0.51,0.46,0.49
Whole Ticket feat YFN Lucci,Q Money,0.36,0.78,0.77,0.56
Whole Thang,Roy Demeo,0.25,0.7,0.6,0.35
Whole New Level,Layup,0.24,0.5,0.86,0.6
Whole Lotta Talking,Link Wray,0.3,0.5,0.85,0.86
Whole Lotta Song,Orville Dahl,0.25,0.74,0.61,0.85
Whole Lotta Shakin Goin On,Sandro,0.26,0.47,0.92,0.67
Whole Lotta Money feat Mozzy  Trapboy Freddy,E MOZZY,0.13,0.66,0.79,0.59
Whole Lotta Money,Arsonal da Rebel,0.15,0.58,0.71,0.5
Whole Lotta,Duke Deuce,0.19,0.94,0.74,0.13
Whole Lot ASOT 890,Olivier Giacomotto,0.14,0.49,0.83,0.22
Whole Lot,DJ Luke Nasty,0.17,0.87,0.48,0.33
Whole Lives,Jake Scott,0.49,0.6,0.6,0.67
Whole Heart Hold Me Now  Live,Hillsong UNITED,0.64,0.32,0.59,0.11
Whole Heart  Live,Passion,0.46,0.39,0.8,0.19
Whole Heart,Mezzo Piano,0.21,0.51,0.17,0.24
Whole Gang Mobbin,Unaverage Gang,0.33,0.66,0.9,0.46
Whole Body Move,lil Sleepy,0.25,0.84,0.67,0.82
Whole Bitch,Seed of 6ix,0.13,0.73,0.61,0.56
Whole Again,Atomic Kitten,0.66,0.75,0.71,0.57
Whole 4,Bankroll Fresh,0.31,0.63,0.68,0.4
Whole  demo,Sody,0.6,0.52,0.19,0.26
Whoever We Want Rad Cat Remix,Brooke Forman,0.27,0.76,0.76,0.61
Whodie,YNW Melly,0.6,0.72,0.68,0.48
Whoaa Live,Mint Condition,0.16,0.64,0.53,0.62
Whoa feat Just Juice,Rev,0.1,0.65,0.9,0.44
Whoa Now,Tbhm,0.32,0.7,0.66,0.93
Whoa,Dobre Brothers,0.42,0.96,0.5,0.13
Who you wanna be,NumerusX,0.17,0.73,0.7,0.27
Who the Fuck Is You,Xavier Wulf,0.45,0.97,0.22,0.29
Who You Talking To,E40,0.37,0.95,0.74,0.72
Who You Say I Am  Studio Version,Hillsong Worship,0.52,0.38,0.65,0.32
Who You Say I Am  Recorded At Sound Stage Nashville,Hillsong Worship,0.57,0.27,0.37,0.09
Who You Say I Am  LiveAcoustic,Hillsong Worship,0.48,0.37,0.27,0.15
Who You Say I Am  Live,Hillsong Worship,0.66,0.27,0.67,0.23
Who You Say I Am  Instrumental Version,Hillsong Worship,0.35,0.14,0.67,0.09
Who You Say I Am,Hillsong Worship,0.48,0.37,0.65,0.33
Who You Know,Kollision,0.22,0.92,0.47,0.22
Who You Foolin,Gunna,0.74,0.92,0.76,0.76
Who You Are feat MIO  sergioisdead Remix,Syn Cole,0.15,0.69,0.58,0.68
Who You Are feat MIO  VIP Mix,Syn Cole,0.22,0.66,0.72,0.56
